"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","NOTES"
"52",6,"Cam Skattebo",NYG,"RB20","8","The human battering ram known as Cam Skattebo made waves in his rookie season before being sidelined by a horrible ankle/fibula fracture that also ruptured his deltoid ligament in Week 8 of last season. In Weeks 2-7 as the Giants’ workhorse, Skattebo averaged 19.5 touches and 96.3 total yards as the RB8 in fantasy points per game. I won’t be surprised if Skattebo’s per-touch efficiency is impacted for at least part of his 2026 season, if not the entire year, as he works his way back from last year’s injury. If he’s good to go, he should be the Giants’ leading ball carrier this season. Last season, he was stellar with his touches, ranking fourth in missed tackle rate and yards after contact per attempt, 11th in target per route run rate, eighth in yards per route run, and second in first downs per route run (per Fantasy Points Data). He’s best viewed as a volume-driven RB2, but I won’t be shocked if he’s an RB1 this season."
"53",6,"Mike Evans",SF,"WR26","8","Mike Evans enters his first season with San Francisco with more risk than ever before, but the touchdown upside remains extremely enticing. Injuries limited Evans in 2025, though he still commanded strong target volume whenever healthy and continued to draw top defensive attention. The veteran receiver now joins a 49ers offense that should create immediate red-zone opportunities, especially with George Kittle recovering from an Achilles injury. Evans may not offer elite weekly consistency, but his size and scoring ability make him a strong bet for double-digit touchdowns if the 33-year-old can stay on the field."
"54",6,"Quinshon Judkins",CLE,"RB21","11","Quinshon Judkins had off-the-field and contract issues last year, entering his rookie season, which caused him to miss training camp and not start the season until Week 2. Once he was on the field, he was Cleveland’s workhorse back until suffering an ankle and fibula fracture in Week 16. In Weeks 2-15, he was the RB26 in fantasy points per game (RB22 in expected fantasy points per game), averaging 18.7 touches and 72.8 total yards. I wasn’t high on Judkins as a prospect, as his per-touch efficiency in college wasn’t amazing. He didn’t debunk that trend in his rookie season, either. Among 49 qualifying backs, he ranked 40th in explosive run rate, 33rd in missed tackle rate, and 26th in yards after contact per attempt (per Fantasy Points Data). In his defense, Judkins’ offensive line didn’t do him any favors last season. Among those 49 backs, Judkins had the fifth-highest mark of yards after first contact, with 62.2% of his rushing yards coming after first contact, and he had the fourth-fewest yards before contact per attempt, with only Cam Skattebo, Ashton Jeanty, and Zach Charbonnet seeing less runway with the ball in their hands. With a rebuilt offensive line to run behind in 2026, hopefully better quarterback play in front of him (fingers crossed), and more scoring opportunities, Judkins could return RB2 production this season."
"55",6,"Jalen Hurts",PHI,"QB5","10","After averaging at least 21 fantasy points per game from his first full season as a starter in 2021 to 2024, Jalen Hurts slipped to 19.1 fantasy points per game in 2025. A decrease in rushing production was largely to blame. Hurts’ 421 rushing yards last season marked a five-year low, and his streak of four straight seasons with double-digit rushing touchdowns was snapped, as Hurts had only eight TD runs in 2025. Kevin Patullo has been ousted as the Eagles’ playcaller, replaced by first-time NFL offensive coordinator Sean Mannion. As dysfunctional as the Eagles’ passing game seemed at times last season, the change in playcallers seems like a positive for Hurts. Philadelphia’s offensive line remains one of the league’s best, and Eagles GM Howie Roseman drafted two exciting new weapons for Hurts in WR Makai Lemon and TE Eli Stowers."
"56",6,"Jayden Daniels",WAS,"QB6","7","After a sublime 2024 rookie season in which he threw for 3,568 yards and 25 touchdowns, ran for 891 yards and six touchdowns, and was named Offensive Rookie of the Year, Daniels played only seven games in 2025 due to elbow, knee and ankle injuries. When he was healthy, Daniels was a far less efficient passer than he had been in 2024, averaging only 6.7 yards per pass attempt and completing 60.6% of his throws in 2025 (down from 7.4 YPA and a 69.0% completion rate as a rookie). Daniels still ran aggressively, averaging 8.3 rushing attempts per game after averaging 8.7 as a rookie. But his effectiveness as a runner waned, going from 6.0 to 4.8 yards per carry. Daniels’ running ability and his potential as a passer still make him a top-five fantasy quarterback, but he’s obviously a less appealing investment than he was a year ago, and the Commanders’ lack of proven pass catchers behind WR Terry McLaurin is cause for concern."
"57",6,"Christian Watson",GB,"WR27","11","Christian Watson returned to the lineup in Week 8 after tearing his ACL late into the 2024 season. Despite coming off a brutal injury, he supplanted Romeo Doubs as the WR1 in the Packers’ offense. Watson was the WR17 in PPG (11.5) to go with a 34% air yard share (over 1,000 air yards). Hit career highs in yards and yards per route run. Never saw fewer than four targets in any contest. With Doubs and Dontayvion Wicks gone, Green Bay enters 2026 with a surplus of vacated targets, representing a substantial opportunity opening that Watson is well-positioned to absorb if he can stay on the field."
"58",6,"D'Andre Swift",CHI,"RB22","10","D’Andre Swift arguably had a career year last season for the Bears as the RB16 in fantasy points per game. He finished with 257 touches and 1,386 total yards while splitting work with Kyle Monangai. Monangai’s presence didn’t hurt Swift a ton as he was the RB20 in fantasy points per game after Monangai’s emergence in Week 9. During Weeks 10-18, Swift remained the preferred passing down back for Chicago with a 43% route share (Monangai 28.8%, per Fantasy Points Data), but he split up the red zone work with Monangai, with 18 red zone rushing attempts to Monangai’s 19. This is worrisome, but not something to freak out about in today’s NFL, where most teams are utilizing some form of committee approach. It was nice to see Swift’s efficiency numbers bounce back after a horrible 2024 season. Last year, he ranked 13th in explosive run rate, 11th in rushing success rate, and 20th in missed tackle rate. Swift should be a mid-range RB2 again this season."
"59",6,"TreVeyon Henderson",NE,"RB23","11","TreVeyon Henderson finished his rookie season as the RB24 in fantasy points per game, but it wasn’t nearly that productive for fantasy managers when you look at the full breakdown of how it unfolded. In Weeks 10-11, Rhamondre Stevenson wasn’t active, and Henderson feasted with 60.3 combined PPR points, which accounted for 29.2% of his overall fantasy production for the season. If you take those two monster games out of the equation, Henderson would have averaged 9.8 PPR points per game, which would have made him the RB33 in fantasy points per game. Without Stevenson in the lineup in Weeks 9-11, Henderson averaged 19 touches and 110 total yards. With Stevenson active, Henderson had 11.2 touches and 57.2 total yards per game. This isn’t to shade Henderson, but I’m trying to give context to his rookie season that will be overlooked at first glance. I don’t know how Henderson overtakes Stevenson in 2026 if both of these players continue to post per-touch efficiency metrics like they did last season. Last year, Henderson was bested by Stevenson in every metric that I care about, namely explosive run rate, missed tackle rate, yards after contact per attempt, yards per route run, and pass protection stats. Among 49 qualifying backs, Henderson ranked 12th in explosive run rate, but he was also 32nd in missed tackle rate and 42nd in yards after contact per attempt (per Fantasy Points Data). Henderson could eat into Stevenson’s workload more in 2026 if he can take another step and payoff as an RB2, but he ‘s best viewed as an upside RB3."
"60",6,"Tyler Warren",IND,"TE4","13","Tyler Warren’s rookie season got off to a fast start, but his production slowed down markedly late in the season, leaving us with a challenging evaluation for 2026. Over his first 10 games of 2025, Warren averaged 5.0 catches, 61.7 receiving yards and 11.1 half-point PPR fantasy points per game, with four touchdowns. Over his last seven games, Warren averaged 3.7 catches, 28.6 receiving yards and 5.6 half-point PPR fantasy points per game, with one touchdown. The net result: 76 catches for 817 yards and four touchdowns (plus one TD run) and a TE5 fantasy finish. Daniel Jones’ late-season injuries might partly account for Warren’s late-season slowdown, and Jones’ health status might still be an issue early in the 2026 season. But the Colts traded away WR Michael Pittman in the offseason and didn’t make any significant pass-catching acquisitions in free agency or the draft, bolstering Warren’s 2026 target outlook. Warren might not be one of the elite fantasy TEs in 2026, but he should still be one of the first five tight ends off the board in this year’s drafts."
"61",6,"David Montgomery",HOU,"RB24","8","David Montgomery now finds himself as the Texans’s do it all workhorse for 2026. Last year, he was phased out of the Lions’ offensive plans as the season moved along, which led to his RB32 finish in fantasy points per game. In Weeks 12-18, he was the RB43 in fantasy points per game with a 32.1% snap rate, 8.2 touches per game, and only 42.8 total yards per game. Montgomery still has the juice to produce as a workhorse this season. Last season, he ranked 30th in missed tackle rate, but he was 12th in yards after contact per attempt (per Fantasy Points Data). His receiving chops are also still alive and well, as he was also 22nd in yards per route run and 12th in first downs per route run. Many will worry that Montgomery will split Houston’s backfield workload with Woody Marks this season, but I don’t see that happening. Montgomery should absorb a workload close to what Joe Mixon saw in 2024. In 2024, Mixon ranked fifth in opportunity share, 14th in snap share, and 13th in carries among running backs, finishing with 281 touches. Last season, Montgomery bested Marks in explosive run rate, missed tackle rate, rushing success rate, yards after contact per attempt, and yards per route run. Legit, every per-touch metric that I care about. Montgomery is the superior back, even at this stage of his career, and he’ll be a strong volume-driven RB2 that could flirt with RB1 production."
"62",6,"Rome Odunze",CHI,"WR28","10","Rome Odunze’s second season was a tale of two halves, as injuries and poor catchable targets derailed what started as a breakout campaign. Before Week 9, he ranked top-10 in WR fantasy points per game while dominating high-value usage, leading the Bears in targets, red-zone looks, and air yards share. The concerns are real with Colston Loveland and Luther Burden taking larger roles in Year 2 but Chicago also lost significant WR volume and touchdown production entering 2026 with the departure of DJ Moore. Odunze remains a strong positive regression candidate tied to Caleb Williams, especially if the Bears’ passing game takes another step forward under HC Ben Johnson."
"63",6,"DJ Moore",BUF,"WR29","7","DJ Moore lands in Buffalo in arguably the best situation of his career after years of producing despite inconsistent quarterback play and shifting offensive environments. The veteran receiver reunites with Joe Brady, under whom he previously handled massive volume in Carolina, and now gets the benefit of catching passes from Josh Allen. Moore should immediately operate as one of Buffalo’s primary receiving weapons, even if the Bills continue spreading targets around offensively. Given his long track record of WR2 production and the offensive upgrade surrounding him, Moore profiles as a strong value in 2026."
"64",7,"Bhayshul Tuten",JAC,"RB25","7","With Travis Etienne gone, Bhayshul Tuten will compete with Chris Rodriguez to be the lead back for the Jaguars in 2026. I want to bet on Tuten this year and his talent. Last year, Tuten was unfortunately robbed of the stretch run of his rookie season as he was sidelined by a finger injury. Before the injury, he was starting to make some noise. This could be the big breakout season for Tuten, who, on a per-touch basis, flashed the immense talent that I really liked when he was in college. Last season, among 55 qualifying backs, he ranked fifth in rushing success rate, 11th in missed tackle rate, and 17th in yards after contact per attempt. Rodriguez will remain a worry for Tuten at the goal line and to his overall touch count until we see his role fleshed out this season, but if he can be the clear lead guy, he has the talent to match Etienne’s RB13 finish last year in fantasy points per game."
"65",7,"Tucker Kraft",GB,"TE5","11","Tucker Kraft is coming back from an ACL tear and small meniscus tear that ended his 2025 season after eight games and torpedoed what was shaping up to be a monster season. After a breakout 2024 season in which he had 50 catches for 707 yards and seven touchdowns, Kraft was off to a torrid start last year, with 32 catches for 489 yards and six touchdowns before getting hurt against the Panthers in Week 9. Kraft was TE2 in fantasy scoring behind only Trey McBride when he went down. If Kraft is fully healthy, he could produce big numbers in 2026. The Packers have parted ways with WRs Romeo Doubs and Dontayvion Wicks, and they didn’t add any notable pass catchers in the offseason. Kraft averaged an astounding 2.33 yards per route run last season. He’s a beast after the catch who’s averaged 8.8 yards after catch per reception over his three-year career. Monitor the news on Kraft’s recovery over the summer and be prepared to pounce if he comes with an injury discount in 2026 fantasy drafts."
"66",7,"Jadarian Price",SEA,"RB26","11","Jadarian Price was selected in the first round of the NFL Draft by the Seahawks to be their new Kenneth Walker (and maybe more). Walker led the backfield last year for Seattle, but they limited his usage in the red zone and in the passing game. Price remains an unknown in the passing game after only 13 targets over the last two collegiate seasons at Notre Dame, but he could easily surpass Walker’s red zone usage in 2205. It’s unknown when we’ll see Zach Charbonnet back to 100%, and outside of him, Price is competing with Emanuel Wilson and George Holani for work. Price is a wonderful rushing talent ranking 25th and fifth in yards after contact per attempt, 31st and 3rd in breakaway rate, and 15th and 39th in elusive rating over the last two seasons in college (per PFF). Price is an intriguing RB2 with a ton of upside in 2026."
"67",7,"Carnell Tate",TEN,"WR30","9","Carnell Tate lands in an ideal long-term situation after being selected fourth overall by Tennessee, where he has a clear path to becoming the Titans’ No. 1 receiver. The former Ohio State standout excelled against man coverage in college and enters an offense led by Brian Daboll alongside ascending second-year quarterback Cam Ward. While veterans like Calvin Ridley and Wan’Dale Robinson should remain involved early, Tate possesses the profile of a future No. 1 receiver with immediate fantasy upside. Historically, top-five WR selections have produced quickly, making Tate one of the most no-brainer rookie wideouts to target in 2026 fantasy drafts."
"68",7,"Justin Herbert",LAC,"QB7","7","Over the first three years of his NFL career, Justin Herbert averaged 287.5 passing yards and 1.9 TD passes per game. Over the last three years, he’s averaged 233.3 passing yards and 1.5 TD passes per game. There hasn’t been a discernible difference in Herbert’s passing efficiency over those two periods. The downturn can be traced to (at various times) conservative play-calling, offensive line injuries, or a shortage of quality pass catchers. Those problems appear to have been resolved, and Herbert could have a banner season in tandem with new Chargers offensive coordinator Mike McDaniel (under whom Tua Tagovailoa led the league in passing yardage three years ago)."
"69",7,"Jaylen Warren",PIT,"RB27","9","Last season, Jaylen Warren had arguably his most productive season for fantasy purposes as the RB18 in fantasy points per game. He was his usual incredibly efficient self on a per-touch basis. In 2025, Warren ranked sixth in missed tackle rate, ninth in yards after contact per attempt, 12th in rushing success rate, third in yards per route run, and seventh in first downs per route run (per Fantasy Points Data). He set career highs in carries (211), rushing yards (958), and total touchdowns (eight). Kenneth Gainwell moved on from Pittsburgh in the offseason, but Mike McCarthy brought in his favorite son, Rico Dowdle. Warren’s role for Pittsburgh has evolved over the years from preferred passing down back to lead back, but his role could be in flux in 2026 with the arrival of a new head coach and backfield mate. Warren could still return RB2 value this season, but there’s more risk in his 2026 projection than many will be able to admit."
"70",7,"Alec Pierce",IND,"WR31","13","Alec Pierce cashed in after a breakout season, leading the Colts in receiving yards in each of the last two years while continuing to dominate as one of the NFL’s premier deep threats. The 26-year-old finished as the WR23 in fantasy points per game in 2025, posting 10 games with at least 65 receiving yards and clearing 1,000 yards for the first time in his career. With Michael Pittman Jr. traded away, Pierce enters 2026 as Indianapolis’ top wide receiver, although target competition from Tyler Warren and Josh Downs remains a concern. His fantasy ceiling will largely depend on the health and effectiveness of Daniel Jones, but Pierce has already shown he can produce splash weeks regardless of quarterback play."
"71",7,"Marvin Harrison Jr.",ARI,"WR32","14","Marvin Harrison Jr.’s second season was derailed by a brutal string of injuries, but the underlying indicators still point toward a potential Year 3 breakout. Even through the missed time, Harrison continued to command high-value usage near the end zone and showed improvement in several key efficiency metrics. From Weeks 1-13, Harrison was the WR27 in PPG. In his last five healthy games...12.8 PPG - low-end fantasy WR1 numbers. Michael Wilson’s stark on-off splits highlighted just how important MHJ remained when healthy to the Cardinals passing game. With Mike LaFleur now running the offense and a likely emphasis on moving Harrison around the formation more creatively, the former top-five pick remains a prime post-hype breakout candidate."
"72",7,"Caleb Williams",CHI,"QB8","10","After an uneven rookie season in which he finished QB16 in fantasy scoring, Caleb Williams took a big step forward in 2025 under new Bears head coach and playcaller Ben Johnson, finishing QB6 in fantasy scoring. Williams threw for a franchise-record 3,942 yards. He boosted his yardage per pass attempt from 6.3 as a rookie to 6.9. He bumped his TD rate from 3.6% to 4.9%, while slashing his sack rate from 10.8% to 4.1%. There’s still room for improvement. Williams completed only 58.1% of his throws last season, and he’s a notoriously slow starter who sometimes slumbers through the first half of games. But Williams is a remarkable athlete capable of extraordinary throws. He adds some fantasy value as a runner (388 rushing yards and three TD runs last year), though he prefers to use his mobility to buy additional time to throw. Williams has a bright future, and with Johnson as his mentor and a pass-catching corps that includes TE Colston Loveland and WRs Rome Odunze and Luther Burden, a high-end QB1 fantasy season is within reach."
"73",7,"Harold Fannin Jr.",CLE,"TE6","11","A third-round pick in last year’s NFL Draft, Harold Fannin was surprisingly impactful as a rookie, racking up 72 catches for 731 yards and six touchdowns to finish TE6 in half-point PPR fantasy scoring. Perhaps we shouldn’t have been surprised by Fannin’s first-year success. He had 117 catches for 1,555 yards in his final college season at Bowling Green, leading all FBS pass catchers in both categories. The Browns have an unappealing QB situation, and the arrival of rookie WRs KC Concepcion and Denzel Boston could cut into Fannin’s target share. But the Browns’ new head coach, Todd Monken, has historically been a very TE-friendly playcaller. Fannin should be regarded as a midrange TE1 in 2026 fantasy drafts."
"74",7,"DK Metcalf",PIT,"WR33","9","DK Metcalf’s first season in Pittsburgh largely reinforced what fantasy managers have seen over the last several years &mdash; good, not great, fantasy consistency (WR26 overall and WR24 in PPG). The Steelers receiver once again finished outside the top tier at the position, and now faces even more target competition in a new-look offense entering 2026. His role has increasingly trended toward volatile WR3 territory rather than true fantasy alpha production. With Aaron Rodgers at quarterback and additional mouths to feed, his ceiling appears lower than his reputation might suggest."
"75",7,"Courtland Sutton",DEN,"WR34","10","Courtland Sutton’s 2025 finish once again outpaced his underlying usage, as strong touchdown production helped propel him into the top-12 overall WRs despite modest efficiency (20th in PPG). Before the Week 12 bye week, Sutton was outside the top-30 WRs in PPG. Denver’s passing attack now looks significantly EVEN more crowded after the addition of Jaylen Waddle, and the Broncos enter 2026 with virtually no vacated volume available. Sutton still profiles as an important red-zone target for Bo Nix, but his declining efficiency metrics and growing competition raise concerns about his fantasy ceiling. At age 31, Sutton feels more like a volume-dependent WR3 than a true alpha receiver moving forward."
"76",7,"Chuba Hubbard",CAR,"RB28","5","Chuba Hubbard followed up his big breakout 2024 season with a stinker in 2025. Last year, Chuba Hubbard fell apart as the RB40 in fantasy points per game. Yes, he dealt with a calf injury for part of the season, but he also lost his starting job during the season to Rico Dowdle. Hubbard was arguably the most inefficient running back in the NFL last year. Among 49 qualifying backs, he ranked dead last in missed tackle rate and explosive run rate (zero explosive runs) while also sitting at 47th in yards after contact per attempt (per Fantasy Points Data). If Jonathon Brooks is fully healthy (I think he will be), he could easily be the backfield leader coming out of camp. I’ll be avoiding Hubbard in drafts this year."
"77",7,"Jaxson Dart",NYG,"QB9","8","After selecting edge rusher Abdul Carter No. 3 overall in last year’s NFL Draft, the Giants traded back into the first round to grab Jaxson Dart of Ole Miss at No. 25. That move looks shrewd so far, as Dart acquitted himself extremely well in 12 starts last year despite having a skeleton crew of pass catchers following a season-ending injury to WR Malik Nabers. Dart completed 63.7% of his throws and averaged a respectable 6.7 yards per pass attempt, with 15 touchdown passes and five interceptions. Dart was dynamic as a runner, racking up 487 rushing yards and nine TD runs. But Dart was also a reckless runner at times. He took some hard hits, including one against the Bears in Week 10 that resulted in a concussion. But it’s appealing to fantasy managers that Dart is such a willing and able runner. Two reasons for concern: (1) Nabers has reportedly been slow to recover from his knee injury; and (2) new Giants offensive coordinator Matt Nagy isn’t considered one of the NFL’s top offensive designers."
"78",7,"Trevor Lawrence",JAC,"QB10","7","As the 2025 regular season reached its conclusion, Trevor Lawrence was playing the best football of his five-year NFL career under first-year Jaguars head coach Liam Coen. Over his first 10 games, Lawrence averaged 215 passing yards, 1.1 TD passes and 16.6 fantasy points per game. He averaged 6.4 yards per pass attempt over that span, and his passer rating was 79.4. Over his last seven regular-season games, Lawrence averaged 265 passing yards, 2.6 TD passes and 26.6 fantasy points per game. He averaged 8.4 yards per pass attempt over those seven games, and his passer rating was 108.6. Lawrence also had his most productive season as a runner, with 359 rushing yards and nine TD runs. With Brian Thomas Jr., Jakobi Meyers and Parker Washington (and perhaps occasional contributions from Travis Hunter), Lawrence has a good set of wide receivers. Now, we’ll see if T-Law can pick up where he left off."
"79",7,"Tony Pollard",TEN,"RB29","9","Tony Pollard remains the clear leadback for the Titans entering the 2026 season. Last year, he ranked 15th in snap share, 17th in opportunity share, and 16th in weighted opportunities, but because of the putrid offensive situation he found himself in, he was only the RB29 in fantasy points per game. This can be traced to his five total touchdowns, which were a result of an offense that was 30th in points per game and 32nd in red zone scoring attempts per game, so it makes sense that he also ranked 49th in red zone touches. Pollard was still solid on a per-touch basis. Among 49 qualifying backs, he ranked 25th in explosive run rate and 22nd in yards after contact per attempt (per Fantasy Points Data). Brian Daboll, his new offensive coordinator, has historically ridden one running back in his offenses, and Pollard looks to be that guy this season. Pollard should find running room in 2026 with Carnell Tate and Wan’Dale Robinson added to the passing game, improved play from Cam Ward, and an offensive line that last year was quietly 13th-best in yards before contact per attempt. Pollard will be lingering in the RB3 range in plenty of drafts, but I think he returns strong RB2 value and production this season."
"80",7,"Dak Prescott",DAL,"QB11","14","One of the best pure passers in the game, Dak Prescott seems primed for another big season. He has a solid offensive line in front of him and perhaps the best WR tandem in the league in CeeDee Lamb and George Pickens. If the Dallas defense is subpar again, Prescott could be thrust into a lot of shootouts in which he’s forced to match opponents score for score. Over the last three years, Prescott has averaged 263 passing yards, 1.8 TD passes and 19.1 fantasy points per game. He’s led the league in completions in two of the last three years, and he might have gone 3-for-3 had he not missed the last nine games of the season with a hamstring injury. Although he managed to finish QB5 in fantasy scoring last season, Prescott offers little value as a runner, with only seven TD runs over the last five years."
"81",7,"RJ Harvey",DEN,"RB30","10","R.J. Harvey’s rookie season was a tale of two seasons centered around J.K. Dobbins being in the lineup and out of it. In Weeks 1-10, Harvey was the RB29 in fantasy points per game, averaging 29.1% of the snaps played with 7.5 touches and 38.9 total yards per game. In Weeks 11-18, with Dobbins out, he was the RB13 in fantasy points per game with 16.8 touches and 72.5 total yards per game while averaging 60.7% of the snaps played. With Dobbins back and Denver drafting Jonah Coleman, Harvey’s role is up in the air. He could easily fall back into last year’s early-season role as passing down partner with Dobbins, or this backfield could get messy with all three backs playing and the production getting divided up. Harvey was awesome overall last season as a receiving option, but he struggled on early downs. As a pass catcher, he ranked sixth in target per route run rate and first downs per route run and tenth in yards per route run (per Fantasy Points Data). As a rusher, among 49 qualifying backs, he was 21st in missed tackle rate but 42nd in explosive run rate and 44th in yards after contact per attempt. Harvey is a decent selection in fantasy drafts this season, but in 2026, I won’t go out of my way to get him on all my teams like last year."
"82",7,"Rhamondre Stevenson",NE,"RB31","11","Rhamondre Stevenson was the Pats’ lead back last year as the RB21 in fantasy points per game, and I don’t see that changing in 2026. Stevenson was amazing on a per-touch basis, and he bested TreVeyon Henderson in EVERY discernible metric that I care about. Last year, Stevenson was fifth in explosive run rate, missed tackle rate, and yards after contact per attempt (per Fantasy Points Data). Stevenson also surpassed Henderson in yards per route run (1.41 vs. 0.98) and pass protection. Unless Stevenson falls off in 2026, he should remain the lead back for New England after playing at least 57% of the snaps in nine of his 14 games played in 2025. Stevenson should be a nice value for fantasy managers again this season."
"83",7,"Rico Dowdle",PIT,"RB32","9","Rico Dowdle did it again last season. Dowdle fought to get to the top of the Carolina running back depth chart as he wrestled the starting job away from Chuba Hubbard. In Weeks 5-18, Dowdle averaged 18.6 touches and 87.7 total yards as the RB10 in fantasy points per game. Dowdle also excelled last season on the ground and in the receiving game. He ranked 23rd in explosive run rate, 17th in missed tackle rate, tenth in yards after contact per attempt, 17th in yards per route run, and 16th in first downs per route run (per Fantasy Points Data). After that strong season, Dowdle now finds himself reunited with Mike McCarthy in Pittsburgh as a backfield complement to Jaylen Warren. The division of the Steelers’ running back workload is up in the air for the 2026 season, but I won’t count against Dowdle’s ability to rise to the competition for RB1 duties. We’ll likely see a committee approach for Pittsburgh this season, but Dowdle could easily return RB2 value if not strong flex value this season."
"84",8,"Sam LaPorta",DET,"TE7","6","After finishing TE1 in fantasy scoring as a rookie in 2023, Sam LaPorta has been less productive the last two seasons, although he hasn’t been *that* much less productive on a per-game basis, and injuries may partly explain the dip. LaPorta played through a sprained ankle early in the 2024 season and missed one game that November with a sprained AC joint in his shoulder. In 2025, he herniated a disc in his back in Week 10 and missed Detroit’s last eight games. After scoring 10 touchdowns as a rookie, LaPorta had seven TDs in 2024 and three in 2025. But LaPorta hit career highs in catch rate (81.6%), yards per target (10.0) and yards per route run (2.00) last season, suggesting there has been no drop-off in his quality of play. But after averaging 7.1 targets per game as a rookie, LaPorta has averaged only 4.9 targets in his 27 regular-season games the last two years. Perhaps he’ll see a target uptick under new Lions offensive coordinator Drew Petzing, who was calling the plays in Arizona the last three years while Cardinals TE Trey McBride blossomed into a superstar."
"85",8,"Kyle Pitts Sr.",ATL,"TE8","11","Kyle Pitts entered the 2025 season with the reputation of being a perennial fantasy tease. The former No. 3 overall draft pick tried to rehabilitate his image with 88 catches for 928 yards and five touchdowns last year, good for a TE2 finish in half-point PPR fantasy scoring. Pitts scored three of his five touchdowns and had his only 100-yard game of the season in Week 15, when he erupted for 11 catches, 166 yards and three scores vs. the Buccaneers. It was Pitts’ best season since his 1,026-yard rookie campaign in 2021. The Falcons don’t have a lot of firepower at wide receiver beyond Drake London, so Pitts could very well be Atlanta’s No. 2 target earner this season. And while the QB duo of Michael Penix and Tua Tagovailoa doesn’t seem very appealing, it’s worth remembering that Mike Gesicki and Jonnu Smith had the best fantasy seasons of their careers with Tua as their primary QB."
"86",8,"Brian Thomas Jr.",JAC,"WR35","7","Brian Thomas Jr.’s sophomore season was a major disappointment after the lofty expectations created by his explosive rookie campaign. Injuries constantly interrupted his momentum, while Jacksonville’s offense increasingly funneled targets toward players like Jakobi Meyers, Parker Washington, and Brenton Strange. The talent that made BTJ a breakout star still exists, but his connection with Trevor Lawrence never consistently clicked in Liam Coen’s system. Until Jacksonville proves willing to feature him more prominently again, Thomas profiles as more of a volatile upside WR3/4 than the ascending alpha many expected entering 2025."
"87",8,"Michael Wilson",ARI,"WR36","14","Michael Wilson’s 2025 breakout came with massive context attached, as nearly all of his fantasy production occurred when Marvin Harrison Jr. was sidelined. Wilson averaged elite WR1 numbers without MHJ in the lineup, but his role and target rate cratered whenever Arizona’s No. 1 receiver was active. The Cardinals are also expected to lean more balanced offensively after investing heavily in the run game during the 2026 NFL Draft with the selection of Jeremiyah Love. Wilson can still provide spike weeks, but expecting last season’s counting stats to repeat in a healthier Arizona offense feels overly optimistic."
"88",8,"Jordyn Tyson",NO,"WR37","8","The Saints drafted Jordyn Tyson 8th overall, adding a high-upside weapon for their second-year QB in Kellen Moore’s fast-paced offense. The former Arizona State standout broke out at 18 and commanded a 35% target share in 2025, showcasing elite target-earning ability when healthy. Durability concerns linger after multiple injuries, but his prospect profile checks nearly every box of a future WR1. With New Orleans capable of supporting multiple fantasy-relevant wideouts, Tyson has a clear path to operate as a No. 2 if not 1B alongside Chris Olave."
"89",8,"Chris Godwin Jr.",TB,"WR38","10","Chris Godwin’s last two seasons have been derailed by injuries, and 2025 raised additional concerns about potential age-related decline entering his age-30 campaign. Even when healthy, Godwin struggled to command high-end volume or efficiency in Tampa Bay’s crowded receiving corps. Still, the veteran remains an important part of the Buccaneers offense and flashed signs of life late in the year with a strong Week 17 performance. If fully healthy entering 2026, Godwin could rebound into fantasy relevance, although his ceiling appears much lower than it was during his prime seasons."
"90",8,"Kyle Monangai",CHI,"RB33","10","Kyle Monangai is a solid RB3/flex option with high-end handcuff appeal for 2026. Last year, in Weeks 10-18, Monangai led D’Andre Swift with 19 red zone rushing attempts compared to Swift’s 18 while producing as the RB33 in fantasy points per game. During the same span, Monangai averaged 12.2 touches and 55.8 total yards while having a 28.8% route share (per Fantasy Points Data). Monangai is a serviceable early down hammer for Chicago, ranking 24th in explosive run rate, 21st in rushing success rate, and 20th in yards after contact per attempt. If Swift misses any time, Monangai would be Chicago’s lead back and an RB1/2."
"",8
"91",8,"Makai Lemon",PHI,"WR39","10","Makai Lemon enters the NFL with elite collegiate production and first-round draft capital after the Eagles aggressively traded up to secure the former USC standout. Lemon offers inside-outside versatility and was one of the most efficient perimeter receivers in college football despite being viewed by some as slot-only. The biggest obstacle to immediate fantasy relevance is target competition in Philadelphia, where DeVonta Smith and Dallas Goedert already command significant volume. Still, Lemon’s talent and long-term upside make him an intriguing bench stash and rookie breakout candidate if the Eagles improve their passing attack under new OC Sean Mannion (McVay/Shanahan-type offense)."
"92",8,"Brock Purdy",SF,"QB12","8","Brock Purdy’s pass-catching corps will look a lot different in 2026. Free-agent addition Mike Evans is expected to be Purdy’s new No. 1 receiver, and the 49ers added WR Christian Kirk in free agency as well. Ricky Pearsall is still around, but Jauan Jennings and Kendrick Bourne are gone. TE George Kittle is recovering from a torn Achilles and might not be ready for the start of the season. A nagging turf toe injury limited Purdy to nine starts in 2025. He threw 20 TD passes despite missing all that time, but he also threw 10 interceptions. Purdy has ranked inside QB1 range in fantasy points per game in each of his three full seasons as a starter. Consider him a low-end QB1 in 2026 fantasy drafts."
